信息资源目录名称（必填项）,信息项名称,信息资源目录提供方
危险化学品经营许可证,企业住所,行政审批局
危险化学品经营许可证,主要负责人,行政审批局
危险化学品经营许可证,经营方式,行政审批局
危险化学品经营许可证,许可范围,行政审批局
危险化学品经营许可证,有效期限,行政审批局
危险化学品经营许可证,企业名称,行政审批局
危险化学品经营许可证,企业住所,行政审批局
危险化学品经营许可证,主要负责人,行政审批局
危险化学品经营许可证,经营方式,行政审批局
危险化学品经营许可证,许可范围,行政审批局
危险化学品经营许可证,有效期限,行政审批局
危险废物经营许可证,编号,行政审批局
危险废物经营许可证,发证机关,行政审批局
危险废物经营许可证,名称,行政审批局
危险废物经营许可证,法定代表人,行政审批局
危险废物经营许可证,注册地址,行政审批局
危险废物经营许可证,经营设施地址,行政审批局
危险废物经营许可证,核准经营,行政审批局
危险废物经营许可证,有效期限,行政审批局
危险废物经营许可证,发证日期,行政审批局
危险废物经营许可证,编号,行政审批局
危险废物经营许可证,发证机关,行政审批局
危险废物经营许可证,名称,行政审批局
危险废物经营许可证,法定代表人,行政审批局
危险废物经营许可证,注册地址,行政审批局
危险废物经营许可证,经营设施地址,行政审批局
危险废物经营许可证,核准经营,行政审批局
危险废物经营许可证,有效期限,行政审批局
危险废物经营许可证,发证日期,行政审批局
危险废物经营许可证,发证机关,行政审批局
危险废物经营许可证,名称,行政审批局
危险废物经营许可证,法定代表人,行政审批局
危险废物经营许可证,注册地址,行政审批局
危险废物经营许可证,经营设施地址,行政审批局
危险废物经营许可证,核准经营,行政审批局
危险废物经营许可证,有效期限,行政审批局
危险废物经营许可证,发证日期,行政审批局
网络食品交易主体备案告知表,主体名称,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,主体类型,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,统一社会信用代码,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,住所（经营场所）,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,法定代表人/负责人,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,网络食品交易网站域名,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,网络食品交易网站IP地址,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,电信业务经营许可证号/备案号,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,设立该分支机构的网络食品交易第三方平台提供者信息,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,主体名称,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,主体类型,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,统一社会信用代码,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,住所（经营场所）,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,法定代表人/负责人,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,网络食品交易网站域名,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,网络食品交易网站IP地址,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,电信业务经营许可证号/备案号,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,设立该分支机构的网络食品交易第三方平台提供者信息,市场监督管理局（知识产权局）
网络食品交易主体备案告知表,备案号,市场监督管理局（知识产权局）
外国人签证、停留、居留许可,个人信息,公安局
外国人签证、停留、居留许可,签发日期,公安局
外国人签证、停留、居留许可,有效期,公安局
托幼机构卫生保健合格证,托幼机构卫生保健合格证核发,卫生健康委员会
投诉答复,投诉内容,文化和旅游局
投诉答复,投诉回复,文化和旅游局
同意予以医疗保障,重点优抚对象名单,退役军人事务局
同意批复,健身气功活动及设立站点批文,教育体育局
同意批复,临时占用公共体育场（馆）设施批文,教育体育局
同意批复,批复,教育体育局
同意接收、转移伤残抚恤关系,军人残疾等级评定表》或《换领〈中华人民共和国残疾军人证〉申报审批表》,退役军人事务局
同意接收、转移伤残抚恤关系,退役证件或者移交政府安置的证明,退役军人事务局
同意接收、转移伤残抚恤关系,户口本、身份证,退役军人事务局
同意接收、转移伤残抚恤关系,残疾军人证,退役军人事务局
同意给付优待金,入伍通知书,退役军人事务局
同意给付优待金,身份证,退役军人事务局
同意给付一次性经济补助金,退出现役行政介绍信,退役军人事务局
同意给付一次性经济补助金,退伍证,退役军人事务局
同意给付一次性经济补助金,身份证,退役军人事务局
同意给付一次性抚恤金,抚恤金分配协议,退役军人事务局
同意给付一次性抚恤金,逝者户口本,退役军人事务局
同意给付一次性抚恤金,逝者残疾军人证,退役军人事务局
同意给付一次性抚恤金,逝者退伍证或退伍登记表,退役军人事务局
同意给付一次性抚恤金,逝者身份证,退役军人事务局
同意给付一次性抚恤金,遗属书面申请,退役军人事务局
同意给付一次性抚恤金,烈士（因公牺牲军人、病故军人）证书,退役军人事务局
同意给付一次性抚恤金,身份证,退役军人事务局
同意给付一次性抚恤金,户口本,退役军人事务局
同意给付一次性抚恤金,受托人证明,退役军人事务局
同意给付一次性抚恤金,授权委托书,退役军人事务局
同意给付一次性抚恤金,死者生前工资表,退役军人事务局
同意给付一次性抚恤金,资金分配协议,退役军人事务局
同意给付生活补助,结婚证或户口本,退役军人事务局
同意给付生活补助,近期免冠彩照,退役军人事务局
同意给付生活补助,申请人享受社保状况证明,退役军人事务局
同意给付生活补助,逝者火化证,退役军人事务局
同意给付生活补助,逝者退役证件,退役军人事务局
同意给付生活补助,本人书面申请,退役军人事务局
同意给付丧葬补助费,去世遗属火化证,退役军人事务局
同意给付丧葬补助费,去世遗属身份证,退役军人事务局
同意给付丧葬补助费,优抚对象抚恤优待证,退役军人事务局
同意给付丧葬补助费,逝者火化证,退役军人事务局
同意给付丧葬补助费,逝者退伍证（复员证）,退役军人事务局
同意给付丧葬补助费,逝者身份证,退役军人事务局
同意给付丧葬补助费,残疾军人证,退役军人事务局
同意给付丧葬补助费,去世残疾军人火化证,退役军人事务局
同意给付丧葬补助费,去世残疾军人身份证,退役军人事务局
同意给付奖励金,身份证,退役军人事务局
同意给付奖励金,优秀士兵证书或立功喜报或荣誉称号证书或大学生入伍证明,退役军人事务局
同意给付购（建）房费用补助,1 至4 级分散供养残疾士兵名单,退役军人事务局
同意给付抚慰金,户口本、身份证,退役军人事务局
同意给付抚慰金,烈士证书,退役军人事务局
同意给付抚慰金,授权委托书,退役军人事务局
同意给付抚慰金,受托人证明,退役军人事务局
同意给付抚慰金,资金分配协议,退役军人事务局
同意给付待安排工作期间生活费,符合安排工作条件退役士兵,退役军人事务局
通知公告,项目名称,文化和旅游局
通知公告,传承人姓名,文化和旅游局
通知公告,联系方式,文化和旅游局
通知公告,项目名称,文化和旅游局
通知公告,联系人,文化和旅游局
通知公告,联系方式,文化和旅游局
通知公告,项目名称,文化和旅游局
通知公告,传承人姓名,文化和旅游局
通知公告,保护单位,文化和旅游局
通知公告,联系方式,文化和旅游局
通知公告,文件名,文化和旅游局
通知公告,单位名称/姓名,文化和旅游局
通知公告,内容,文化和旅游局
通知公告,依据,文化和旅游局
通知公告,发文单位,文化和旅游局
通知公告,日期,文化和旅游局
通报,旅游不文明具体行为,文化和旅游局
通报,法规依据,文化和旅游局
提供食物、购买车票、护送回乡和站内住宿管理等,城市生活无着的流浪乞讨人员救助管理,民政局
特种行业许可证,公章刻制经营场所证明,公安局
特种行业许可证,法人信息,公安局
特种行业许可证,刻制营业资质,公安局
特种行业许可证,旅馆场所信息,公安局
特种行业许可证,法人身份信息,公安局
特种行业许可证,营业资质,公安局
特种设备使用登记证,使用单位名称,市场监督管理局（知识产权局）
特种设备使用登记证,设备使用地点,市场监督管理局（知识产权局）
特种设备使用登记证,设备种类,市场监督管理局（知识产权局）
特种设备使用登记证,设备代码,市场监督管理局（知识产权局）
特种设备使用登记证,编号,市场监督管理局（知识产权局）
特困人员救助供养工作先进单位、个人表彰和奖励决定,表彰项目,民政局
特困人员救助供养工作先进单位、个人表彰和奖励决定,表彰人员,民政局
特困人员供养,姓名,民政局
特困人员供养,发放时间,民政局
特困人员供养,发放金额,民政局
水下文物保护单位批复,基本信息,文化和旅游局
授予记录,标题,卫生健康委员会
授予记录,正文,卫生健康委员会
授予慈善奖表彰的决定,慈善表彰,民政局
兽药生物制品经营许可证,企业名称,农业农村和水利局
兽药生物制品经营许可证,经营地址,农业农村和水利局
兽药生物制品经营许可证,法定代表人,农业农村和水利局
兽药生物制品经营许可证,住址,农业农村和水利局
兽药生物制品经营许可证,经营范围,农业农村和水利局
兽药生物制品经营许可证,有效期,农业农村和水利局
兽药生物制品经营许可证,发证日期,农业农村和水利局
兽药生物制品经营许可证,发证机关,农业农村和水利局
兽药生物制品经营许可证,证号,农业农村和水利局
兽药生物制品经营许可证,兽药经营证字,农业农村和水利局
兽药（生物制品）经营许可证,兽药经营许可,农业农村和水利局
兽药（不含生物制品）经营许可证,企业名称,农业农村和水利局
兽药（不含生物制品）经营许可证,经营地址,农业农村和水利局
兽药（不含生物制品）经营许可证,法定代表人,农业农村和水利局
兽药（不含生物制品）经营许可证,住址,农业农村和水利局
兽药（不含生物制品）经营许可证,经营范围,农业农村和水利局
兽药（不含生物制品）经营许可证,有效期,农业农村和水利局
兽药（不含生物制品）经营许可证,发证机关,农业农村和水利局
兽药（不含生物制品）经营许可证,发证日期,农业农村和水利局
兽药（不含生物制品）经营许可证,证号,农业农村和水利局
兽药（不含生物制品）经营许可证,兽药经营证字,农业农村和水利局
兽药（不含生物制品）经营许可证,企业名称,农业农村和水利局
兽药（不含生物制品）经营许可证,经营地址,农业农村和水利局
兽药（不含生物制品）经营许可证,法定代表人,农业农村和水利局
兽药（不含生物制品）经营许可证,住址,农业农村和水利局
兽药（不含生物制品）经营许可证,经营范围,农业农村和水利局
兽药（不含生物制品）经营许可证,有效期,农业农村和水利局
兽药（不含生物制品）经营许可证,发证日期,农业农村和水利局
兽药（不含生物制品）经营许可证,发证机关,农业农村和水利局
兽药（不含生物制品）经营许可证,证号,农业农村和水利局
兽药（不含生物制品）经营许可证,兽药经营证字,农业农村和水利局
收养登记证,收养人,民政局
收养登记证,收养父亲姓名,民政局
收养登记证,收养父亲国籍,民政局
收养登记证,收养父亲出生日期,民政局
收养登记证,收养父亲身份证件号,民政局
收养登记证,收养父亲住址,民政局
收养登记证,收养母亲姓名,民政局
收养登记证,收养母亲国籍,民政局
收养登记证,收养母亲出生日期,民政局
收养登记证,收养母亲身份证件号,民政局
收养登记证,收养母亲住址,民政局
收养登记证,被收养人,民政局
收养登记证,姓名,民政局
收养登记证,被收养后改名为,民政局
收养登记证,被收养人性别,民政局
收养登记证,被收养人出生日期,民政局
收养登记证,被收养人身份,民政局
收养登记证,被收养人身份证件号,民政局
收养登记证,被收养人住址,民政局
收养登记证,送养人姓名,民政局
收养登记证,收养人,民政局
收养登记证,收养父亲姓名,民政局
收养登记证,收养父亲国籍,民政局
收养登记证,收养父亲出生日期,民政局
收养登记证,收养父亲身份证件号,民政局
收养登记证,收养父亲住址,民政局
收养登记证,收养母亲姓名,民政局
收养登记证,收养母亲国籍,民政局
收养登记证,收养母亲出生日期,民政局
收养登记证,收养母亲身份证件号,民政局
收养登记证,收养母亲住址,民政局
收养登记证,被收养人,民政局
收养登记证,被收养人姓名,民政局
收养登记证,被收养后改名为,民政局
收养登记证,被收养人性别,民政局
收养登记证,被收养人出生日期,民政局
收养登记证,被收养人身份,民政局
收养登记证,被收养人身份证件号,民政局
收养登记证,被收养人住址,民政局
收养登记证,送养人姓名（名称）,民政局
收养登记证,收养证字号,民政局
收养登记证,登记日期,民政局
是否批准的决定,对遗体运往非死亡地的审批,民政局
是否批准的决定,知名人士、侨胞、港澳台胞扩大墓穴用地的批准,民政局
事业单位法人证书,名称,机构编制委员会办公室
事业单位法人证书,登记管理机关,机构编制委员会办公室
事业单位法人证书,宗旨和业务范围,机构编制委员会办公室
事业单位法人证书,住所,机构编制委员会办公室
事业单位法人证书,法定代表人,机构编制委员会办公室
事业单位法人证书,经费来源,机构编制委员会办公室
事业单位法人证书,开办资金,机构编制委员会办公室
事业单位法人证书,举办单位,机构编制委员会办公室
事业单位法人证书,名称,机构编制委员会办公室
事业单位法人证书,宗旨和业务范围,机构编制委员会办公室
事业单位法人证书,住所,机构编制委员会办公室
事业单位法人证书,法定代表人,机构编制委员会办公室
事业单位法人证书,经费来源,机构编制委员会办公室
事业单位法人证书,开办资金,机构编制委员会办公室
事业单位法人证书,举办单位,机构编制委员会办公室
事业单位法人证书,登记管理机关,机构编制委员会办公室
市容环卫责任人告知单,市容环卫责任人告知书,城市管理局（综合行政执法局）
市容环卫责任人告知单,责任人（单位或法人））,城市管理局（综合行政执法局）
市容环卫责任人告知单,行政机关单位,城市管理局（综合行政执法局）
市容环卫责任人告知单,告知时间,城市管理局（综合行政执法局）
使用财政性资金的信息化工程项目的验收，以及使用财政性资金建设政府信息化服务项目的审核,单位名称,工业和信息化局
使用财政性资金的信息化工程项目的验收，以及使用财政性资金建设政府信息化服务项目的审核,事项内容,工业和信息化局
使用财政性资金的信息化工程项目的验收，以及使用财政性资金建设政府信息化服务项目的审核,文号,工业和信息化局
使用财政性资金的信息化工程项目的验收，以及使用财政性资金建设政府信息化服务项目的审核,联系人,工业和信息化局
使用财政性资金的信息化工程项目的验收，以及使用财政性资金建设政府信息化服务项目的审核,电话,工业和信息化局
食品经营许可证,经营者名称,市场监督管理局（知识产权局）
食品经营许可证,统一社会信用代码,市场监督管理局（知识产权局）
食品经营许可证,法定代表人,市场监督管理局（知识产权局）
食品经营许可证,住所,市场监督管理局（知识产权局）
食品经营许可证,经营场所,市场监督管理局（知识产权局）
食品经营许可证,主体业态,市场监督管理局（知识产权局）
食品经营许可证,经营项目,市场监督管理局（知识产权局）
食品经营许可证,许可证编号,市场监督管理局（知识产权局）
食品经营许可证,经营者名称,市场监督管理局（知识产权局）
食品经营许可证,统一社会信用代码,市场监督管理局（知识产权局）
食品经营许可证,法定代表人,市场监督管理局（知识产权局）
食品经营许可证,主体业态,市场监督管理局（知识产权局）
食品经营许可证,经营项目,市场监督管理局（知识产权局）
食品经营许可证,许可证编号,市场监督管理局（知识产权局）
食品经营许可证,经营者名称,市场监督管理局（知识产权局）
食品经营许可证,统一社会信用代码,市场监督管理局（知识产权局）
食品经营许可证,经营场所,市场监督管理局（知识产权局）
食品经营许可证,主体业态,市场监督管理局（知识产权局）
食品经营许可证,经营项目,市场监督管理局（知识产权局）
食品经营许可证,许可证编号,市场监督管理局（知识产权局）
食品经营许可证,经营者名称,市场监督管理局（知识产权局）
食品经营许可证,统一社会信用代码,市场监督管理局（知识产权局）
食品经营许可证,法定代表人,市场监督管理局（知识产权局）
食品经营许可证,住所,市场监督管理局（知识产权局）
食品经营许可证,经营场所,市场监督管理局（知识产权局）
食品经营许可证,主体业态,市场监督管理局（知识产权局）
食品经营许可证,经营项目,市场监督管理局（知识产权局）
食品经营许可证,许可证编号,市场监督管理局（知识产权局）
省外融资担保（再担保）公司在我省设立分支机构,姓名,地方金融监督管理局
省生态环境厅关于XXXX防治污染设施拆除（或闲置）的批复,地点,生态环境局
省生态环境厅关于XXXX防治污染设施拆除（或闲置）的批复,时间,生态环境局
省生态环境厅关于XXXX防治污染设施拆除（或闲置）的批复,原因,生态环境局
省生态环境厅关于XXXX防治污染设施拆除（或闲置）的批复,数量,生态环境局
省级权限核准的机电设备招标投标中重新招标后投标人仍少于三个情况下不再进行招标或者对两家合格投标人进行开标和评标的确认（委托设区市工信部门行使）,单位名称,工业和信息化局
省级权限核准的机电设备招标投标中重新招标后投标人仍少于三个情况下不再进行招标或者对两家合格投标人进行开标和评标的确认（委托设区市工信部门行使）,事项内容,工业和信息化局
省级权限核准的机电设备招标投标中重新招标后投标人仍少于三个情况下不再进行招标或者对两家合格投标人进行开标和评标的确认（委托设区市工信部门行使）,文号,工业和信息化局
省级权限核准的机电设备招标投标中重新招标后投标人仍少于三个情况下不再进行招标或者对两家合格投标人进行开标和评标的确认（委托设区市工信部门行使）,联系人,工业和信息化局
省级权限核准的机电设备招标投标中重新招标后投标人仍少于三个情况下不再进行招标或者对两家合格投标人进行开标和评标的确认（委托设区市工信部门行使）,电话,工业和信息化局
省级权限核准的机电设备招标投标中重新招标后投标人仍少于三个情况下不再进行招标或者对两家合格投标人进行开标和评标的确认（委托设区市工信部门行使）,日期,工业和信息化局
生鲜乳准运证,编号,农业农村和水利局
生鲜乳准运证,车辆号码,农业农村和水利局
生鲜乳准运证,车辆所有者名称,农业农村和水利局
生鲜乳准运证,核定最大运载量（吨）,农业农村和水利局
生鲜乳准运证,有效期,农业农村和水利局
生鲜乳准运证,批准机关,农业农村和水利局
生鲜乳准运证,日期,农业农村和水利局
生鲜乳收购许可证,编号,农业农村和水利局
生鲜乳收购许可证,收购站名称,农业农村和水利局
生鲜乳收购许可证,收购站地址,农业农村和水利局
生鲜乳收购许可证,开办单位名称,农业农村和水利局
生鲜乳收购许可证,收购生鲜乳种类,农业农村和水利局
生鲜乳收购许可证,负责人姓名,农业农村和水利局
生鲜乳收购许可证,法定代表人,农业农村和水利局
生鲜乳收购许可证,收购地域范围,农业农村和水利局
生鲜乳收购许可证,有效期,农业农村和水利局
生鲜乳收购许可证,发证机关,农业农村和水利局
生鲜乳收购许可证,日期,农业农村和水利局
生产经营单位事故应急预案备案,单位名称,应急管理局
生产经营单位事故应急预案备案,联系人,应急管理局
生产经营单位事故应急预案备案,联系电话,应急管理局
生产经营单位事故应急预案备案,传真,应急管理局
生产经营单位事故应急预案备案,电子信箱,应急管理局
生产经营单位事故应急预案备案,法定代表人,应急管理局
生产经营单位事故应急预案备案,资产总额,应急管理局
生产经营单位事故应急预案备案,行业类型,应急管理局
生产经营单位事故应急预案备案,从业人数,应急管理局
生产经营单位事故应急预案备案,单位地址,应急管理局
生产经营单位事故应急预案备案,邮政编码,应急管理局
生产经营单位事故应急预案备案,盖章,应急管理局
生产经营单位生产安全事故应急预案备案登记表,单位名称,行政审批局
生产经营单位生产安全事故应急预案备案登记表,单位地址,行政审批局
生产经营单位生产安全事故应急预案备案登记表,主要负责人,行政审批局
生产经营单位生产安全事故应急预案备案登记表,联系电话,行政审批局
生产经营单位安全评价报告备案登记表,单位名称,应急管理局
生产经营单位安全评价报告备案登记表,单位地址,应急管理局
生产经营单位安全评价报告备案登记表,邮政编码,应急管理局
生产经营单位安全评价报告备案登记表,主要负责人,应急管理局
生产经营单位安全评价报告备案登记表,经办人,应急管理局
生产经营单位安全评价报告备案登记表,联系电话,应急管理局
生产经营单位安全评价报告备案登记表,传真,应急管理局
生产经营单位安全评价报告备案登记表,盖章,应急管理局
审查意见书,单位名称,文化和旅游局
审查意见书,联系人,文化和旅游局
审查意见书,联系电话,文化和旅游局
审查意见书,经营地址,文化和旅游局
审查意见书,经营规模,文化和旅游局
审查意见书,法律依据,文化和旅游局
申诉回复意见,申诉回复,教育体育局
涉密基础成果准予使用决定书,法人或者其他组织需要利用属于国家秘密的基础测绘成果审批,自然资源和规划局
社会艺术水平考级资格证书,名称,文化和旅游局
社会团体法人登记证书,统一社会信用代码,民政局
社会团体法人登记证书,发证机关,民政局
社会团体法人登记证书,发证日期,民政局
社会团体法人登记证书,有效期限,民政局
社会团体法人登记证书,名称,民政局
社会团体法人登记证书,住所,民政局
社会团体法人登记证书,法定代表人,民政局
社会团体法人登记证书,开办资金,民政局
社会团体法人登记证书,业务主管单位,民政局
社会团体法人登记证书,业务范围,民政局
社会团体法人登记证书,统一社会信用代码,民政局
社会团体法人登记证书,发证机关,民政局
社会团体法人登记证书,发证日期,民政局
社会团体法人登记证书,有效期限,民政局
社会团体法人登记证书,名称,民政局
社会团体法人登记证书,住所,民政局
社会团体法人登记证书,法定代表人,民政局
社会团体法人登记证书,开办资金,民政局
社会团体法人登记证书,业务主管单位,民政局
社会团体法人登记证书,业务范围,民政局
社会团体法人登记证书,统一社会信用代码,民政局
社会团体法人登记证书,发证机关,民政局
社会团体法人登记证书,发证日期,民政局
社会团体法人登记证书,有效期限,民政局
社会团体法人登记证书,名称,民政局
社会团体法人登记证书,住所,民政局
社会团体法人登记证书,法定代表人,民政局
社会团体法人登记证书,开办资金,民政局
社会团体法人登记证书,业务主管单位,民政局
社会团体法人登记证书,统一社会信用代码,民政局
社会团体法人登记证书,发证机关,民政局
社会团体法人登记证书,发证日期,民政局
社会团体法人登记证书,有效期限,民政局
社会团体法人登记证书,名称,民政局
社会团体法人登记证书,住所,民政局
社会团体法人登记证书,法定代表人,民政局
社会团体法人登记证书,开办资金,民政局
社会团体法人登记证书,业务主管单位,民政局
社会团体法人登记证书,统一社会信用代码,民政局
社会团体法人登记证书,发证机关,民政局
社会团体法人登记证书,发证日期,民政局
社会团体法人登记证书,有效期限,民政局
社会团体法人登记证书,名称,民政局
社会团体法人登记证书,住所,民政局
社会团体法人登记证书,法定代表人,民政局
社会团体法人登记证书,开办资金,民政局
社会团体法人登记证书,业务主管单位,民政局
社会团体法人登记证书,统一社会信用代码,民政局
社会团体法人登记证书,发证机关,民政局
社会团体法人登记证书,发证日期,民政局
社会团体法人登记证书,有效期限,民政局
社会团体法人登记证书,名称,民政局
社会团体法人登记证书,住所,民政局
社会团体法人登记证书,法定代表人,民政局
社会团体法人登记证书,开办资金,民政局
社会团体法人登记证书,业务主管单位,民政局
社会团体法人登记证书,统一社会信用代码,民政局
社会团体法人登记证书,发证机关,民政局
社会团体法人登记证书,发证日期,民政局
社会团体法人登记证书,有效期限,民政局
社会团体法人登记证书,名称,民政局
社会团体法人登记证书,住所,民政局
社会团体法人登记证书,法定代表人,民政局
社会团体法人登记证书,开办资金,民政局
社会团体法人登记证书,业务主管单位,民政局
社会团体法人登记证书,统一社会信用代码,民政局
社会团体法人登记证书,发证机关,民政局
社会团体法人登记证书,发证日期,民政局
社会团体法人登记证书,有效期限,民政局
社会团体法人登记证书,名称,民政局
社会团体法人登记证书,住所,民政局
社会团体法人登记证书,法定代表人,民政局
社会团体法人登记证书,开办资金,民政局
社会团体法人登记证书,业务主管单位,民政局
社会团体法人登记证书,统一社会信用代码,民政局
社会团体法人登记证书,发证机关,民政局
社会团体法人登记证书,发证日期,民政局
社会团体法人登记证书,有效期限,民政局
社会团体法人登记证书,名称,民政局
社会团体法人登记证书,住所,民政局
社会团体法人登记证书,法定代表人,民政局
社会团体法人登记证书,开办资金,民政局
社会团体法人登记证书,业务主管单位,民政局
社会团体法人登记证书,统一社会信用代码,民政局
社会团体法人登记证书,发证机关,民政局
社会团体法人登记证书,发证日期,民政局
社会团体法人登记证书,有效期限,民政局
社会团体法人登记证书,名称,民政局
社会团体法人登记证书,住所,民政局
社会团体法人登记证书,法定代表人,民政局
社会团体法人登记证书,开办资金,民政局
社会团体法人登记证书,业务主管单位,民政局
社会团体法人登记证书,村（居）民委员会民主选举政策宣传与咨询,民政局
社会体育指导员技术三级证书,姓名,教育体育局
社会体育指导员技术三级证书,性别,教育体育局
社会体育指导员技术三级证书,出生日期,教育体育局
社会体育指导员技术三级证书,民族,教育体育局
社会体育指导员技术三级证书,指导项目,教育体育局
社会体育指导员技术三级证书,身份证号,教育体育局
社会救助先进表彰决定,表彰项目,民政局
社会救助先进表彰决定,表彰人员,民政局
融资担保（再担保）公司设立,姓名,地方金融监督管理局
融资担保（再担保）公司解散,姓名,地方金融监督管理局
融资担保（再担保）公司减少注册资本,姓名,地方金融监督管理局
融资担保（再担保）公司合并、分立,姓名,地方金融监督管理局
认证评估,养老服务等级评价,民政局
认定文件,承担预防接种工作的医疗卫生机构（接种单位）的指定,卫生健康委员会
人民政府下达处理决定,土地权属争议行政裁决,自然资源和规划局
人力资源服务许可证,机构名称,人力资源和社会保障局
人力资源服务许可证,统一社会信用代码,人力资源和社会保障局
人力资源服务许可证,地址,人力资源和社会保障局
人力资源服务许可证,法定代表人,人力资源和社会保障局
人力资源服务许可证,机构性质,人力资源和社会保障局
人力资源服务许可证,许可文号,人力资源和社会保障局
人力资源服务许可证,服务范围,人力资源和社会保障局
人力资源服务许可证,发证机关,人力资源和社会保障局
人力资源服务许可证,发证日期,人力资源和社会保障局
人力资源服务许可证,有效日期,人力资源和社会保障局
迁移核准通知书,统一社会信用代码,行政审批局
迁移核准通知书,名称,行政审批局
迁移核准通知书,迁入机关,行政审批局
迁移核准通知书,迁出机关,行政审批局
弃婴（儿童）捡拾报案证明,群众报案材料,公安局
弃婴（儿童）捡拾报案证明,弃婴情况,公安局
企业事业单位突发环境事件应急预案备案表,单位名称,行政审批局
企业事业单位突发环境事件应急预案备案表,地址,行政审批局
企业事业单位突发环境事件应急预案备案表,法定代表人,行政审批局
企业事业单位突发环境事件应急预案备案表,联系电话,行政审批局
企业事业单位突发环境事件应急预案备案表,联系人,行政审批局
企业事业单位突发环境事件应急预案备案表,突发环境事件应急预案文件目录,行政审批局
企业事业单位突发环境事件应急预案备案表,审批意见,行政审批局
企业事业单位突发环境事件应急预案备案表,备案编号,行政审批局
企业名称争议处理决定书,统一社会信用代码,行政审批局
企业名称争议处理决定书,名称,行政审批局
批准告知书,批准告知书,教育体育局
批文,批复,教育体育局
农作物种子生产经营许可证（变更）,许可证编号,农业农村和水利局
农作物种子生产经营许可证（变更）,企业名称,农业农村和水利局
农作物种子生产经营许可证（变更）,住所,农业农村和水利局
农作物种子生产经营许可证（变更）,法定代表人,农业农村和水利局
农作物种子生产经营许可证（变更）,生产经营范围,农业农村和水利局
农作物种子生产经营许可证（变更）,生产经营方式,农业农村和水利局
农作物种子生产经营许可证（变更）,有效区域,农业农村和水利局
农作物种子生产经营许可证（变更）,有效期至,农业农村和水利局
农作物种子生产经营许可证（变更）,统一社会信用代码,农业农村和水利局
农作物种子生产经营许可证（变更）,发证机关,农业农村和水利局
农作物种子生产经营许可证（变更）,日期,农业农村和水利局
农作物种子生产经营许可证,许可证编号,农业农村和水利局
农作物种子生产经营许可证,企业名称,农业农村和水利局
农作物种子生产经营许可证,住所,农业农村和水利局
农作物种子生产经营许可证,法定代表人,农业农村和水利局
农作物种子生产经营许可证,生产经营范围,农业农村和水利局
农作物种子生产经营许可证,生产经营方式,农业农村和水利局
农作物种子生产经营许可证,有效区域,农业农村和水利局
农作物种子生产经营许可证,有效期至,农业农村和水利局
农作物种子生产经营许可证,统一社会信用代码,农业农村和水利局
农作物种子生产经营许可证,发证机关,农业农村和水利局
农作物种子生产经营许可证,时间,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,生产者名称,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,类别（企业/农户）,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,身份证号码,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,住所,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,负责人,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,联系电话,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,备案日期,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,备案机关,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,序号,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,作物种类,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,种子类别,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,品种名称,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,生产地点,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,生产面积（亩）,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,委托企业单位名称,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,委托企业种子生产经营许可证号码,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,委托企业统一信用代码,农业农村和水利局
农作物种子生产经营备案表（种子生产者）,备注,农业农村和水利局
农作物种子生产经营备案表(经营代销种子/经营不分装种子),备案者名称,农业农村和水利局
农作物种子生产经营备案表(经营代销种子/经营不分装种子),统一信用代码,农业农村和水利局
农作物种子生产经营备案表(经营代销种子/经营不分装种子),住所,农业农村和水利局
农作物种子生产经营备案表(经营代销种子/经营不分装种子),地点,农业农村和水利局
